no,notes,Rufa_subpop,track_data,movebank_name,move_bank_no. ,Project,LotekSerialNum,Program_number,tag-manufacturer-name,tag-model,tag-mass,repetition_no,duty-cycle,tag-comment,ArgosID,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,,Banding_or_recapture_Date,deploy-on-timestamp,Location,Band Number,animal-marker-id,animal-id,Code,AGE,SEX,deploy-on-measurements,WEIGHT,FIRE TIME,Lapsed minutes,deploy_d,deploy_m,deply_y
0,,,,,,to be split by study,tag-serial-no,Program_number,tag-manufacturer-name,tag-model,tag-mass,tag-beacon-frequency,duty-cycle,tag-comment,tag-id,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,deployment-id,deploy-on-date,deploy-on-timestamp,study-site,animal-ring-id,animal-marker-id,animal-id,Code,animal-life-stage,animal-sex,deploy-on-measurements,animal-mass,capture-timestamp,capture-handling-time,,,
313,Missing REF ,,failed,,1235069252,Atlantic Shores,55575,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229336,,deployment estimate as no reference data,,,,,,,,,,,,,,,,,,,,
314,"Missing REF , marked as not deployed in spring 2022 and will be deployed in NY 2023? Points have no geometry ?",,not_deployed,listed in atlantic but no record of deployment info? Good faith replacement,,Atlantic Shores,55576,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229337,,,,,,,,,,,,,,,,,,,,,,
61,,,track,Red Knot Atlantic Shores,1235069252,Atlantic Shores,55898,7165,Lotek,Lotek PinPoint GPS-Argos 75,,,,,233781,,,,,,,18/8/2022,2022/08/18 11:13:00.00,NBRIG,1392-35158,,,FELG(5K>)/-:-/m,ASY,u,"'{culmenInMillimeters:37.1,theadInMilimeters:64, wingInMillimeters:172}'",170,10:15,58,,,
257,,,track,Red Knot Migration Study ECCC,2272951887,ECCC,43375,,Lotek,Sunbird,,,,,242582,SB/monofilament nylon,blood taken,,,,,15/8/2023,2023-08-15  13:30:00 PM,NBRIG,1332-26479,FEDG(K89),NBRIG_242582_2023,FEDG(K89)/-:-/m,ASY,u ,"{culmenInMillimeters:36.4,theadInMilimeters:66.2, wingInMillimeters:170}'",186,13:30,137,,,
258,,,track,Red Knot Migration Study ECCC,2272951887,ECCC,43376,,Lotek,Sunbird,,,,,242583,,feather and blood taken,,,,,16/5/2023,2023/05/16 11:14:00.00,MOORES,1392-24080,FELG(J*U),MOOR_242583_2023,FELG(J*U)/-:-/m,ASY,u ,"{culmenInMillimeters:35.1,theadInMilimeters:65.4, wingInMillimeters:168}'",145,11:14,57,,,
,,,not_deployed,,,ECCC,,,,,,,,,255007,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260800,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260801,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260802,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260803,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260804,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260805,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260806,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260807,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260808,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260809,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260810,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260811,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260812,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260813,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260814,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260815,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260816,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260817,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260818,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260819,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,260820,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261434,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261435,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261436,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261437,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261438,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261439,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261440,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261441,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261442,,,,,,,,,,,,,,,,,,,,,,
,,,not_deployed,,,ECCC,,,,,,,,,261443,,,,,,,,,,,,,,,,,,,,,,
